"marketid"	"upstreamid"	"downstreamid"	"payoff"	"originalmatch"	"urmax"	"drmax"	"urmin"	"drmin"	"removeU"	"removeD"
1	4	9	8.390273869700845	1	3.261881937695513	7.848456847989496	0.5418170217113492	5.128391932005332	1	1
2	6	6	9.059816467325891	1	14.9839583194926	7.218792184510647	1.841024282815244	0	1	1
2	6	13	9.06008417227547	1	14.9839583194926	7.219059889460226	1.841024282815244	0	1	1
3	5	5	7.926439353391525	1	3.834775329160088	6.75261729003072	1.173822063360805	4.091664024231437	1	1
4	1	1	6.676859724921915	1	14.418994868220466	6.6768597249219255	0	0	1	1
4	1	6	9.087150417312262	1	14.418994868220466	9.087150417312259	3.552713678800501*^-15	0	1	1
4	2	12	8.188817873335735	1	7.648896888679829	8.139518303392492	0.04929956994324236	0.5399209846559057	1	1
4	4	3	8.479401262329633	1	24.16841802470332	7.586172939776304	0.8932283225533286	0	1	1
4	4	5	8.250963945876595	1	24.16841802470332	7.357735623323279	0.8932283225533162	0	1	1
4	4	9	8.893011180288603	1	24.16841802470332	7.999782857735269	0.893228322553334	0	1	1
5	2	7	5.426810289510165	1	5.406986999054624	4.509605568434203	0.9172047210759615	0.019823290455541098	1	1
5	4	8	7.305698049275345	1	5.829676462867624	4.7745521769839385	2.5311458722914066	1.4760215864077209	1	1
6	6	1	8.002248719382141	1	6.341462281022412	7.275681152954398	0.7265675664277431	1.6607864383597288	1	1
7	1	5	5.032375343061416	1	5.0323753430614175	3.8875870292251165	1.1447883138362993	0	1	1
7	2	8	6.132567018032633	1	6.132567018032631	4.6550297767921975	1.4775372412404355	1.7763568394002505*^-15	1	1
7	4	3	7.996662193822038	1	6.49698414714544	5.387265075901716	2.609397117920322	1.499678046676598	1	1
8	4	1	8.603587788058261	1	8.03575555651748	6.262742508786644	2.3408452792716172	0.5678322315407822	1	1
9	4	2	5.980072287865687	1	5.236684082261121	5.980072287865681	5.329070518200751*^-15	0.7433882056045658	1	1
10	3	7	7.093169061598532	1	11.899849104927625	5.077636214878439	2.0155328467200935	0	1	1
10	3	13	6.779223731523706	1	11.899849104927625	4.763690884803623	2.015532846720083	0	1	1
10	6	15	8.923022531864396	1	4.949462767981743	7.463259059320265	1.4597634725441306	3.973559763882653	1	1
10	12	1	6.635764037366046	1	11.563799831216443	5.362419447102326	1.2733445902637204	0	1	1
10	12	8	7.587334034957191	1	11.563799831216443	6.129005684955061	1.4583283500021302	0	1	1
11	2	8	6.727650988029709	1	14.813395084755655	2.9940505436794638	3.7336004443502455	0	1	1
11	2	10	8.71579503777398	1	14.813395084755655	4.982194593423742	3.7336004443502375	0	1	1
11	2	17	5.09166119773765	1	14.813395084755655	1.3580607533874058	3.7336004443502437	0	1	1
11	8	5	8.641855516621685	1	11.126249580383416	4.467971380422654	4.173884136199032	0	1	1
11	8	7	8.175834500563745	1	11.126249580383416	4.001950364364717	4.173884136199028	0	1	1
12	3	8	8.032649006870624	1	4.251944259857595	6.701731909715029	1.330917097155595	3.7807047470130293	1	1
13	1	7	4.074485230571896	1	1.7456144400323694	2.6041462371182433	1.4703389934536526	2.3288707905395265	1	1
13	2	13	7.634747465358885	1	3.3205746267091882	6.088426028846868	1.5463214365120166	4.3141728386496965	1	1
13	5	2	8.915756837454035	1	3.9973204127185653	7.1859710455425585	1.7297857919114765	4.91843642473547	1	1
14	1	3	6.311561913858146	1	12.237444393735643	3.307893524207344	3.0036683896508016	0	1	1
14	1	11	5.687470157041421	1	12.237444393735643	2.6838017673906336	3.0036683896507874	0	1	1
14	1	16	5.749289088834422	1	12.237444393735643	2.7456206991836325	3.003668389650789	0	1	1
14	2	15	7.671673651799572	1	3.61505768191509	4.781838254061796	2.8898353977377758	4.056615969884482	1	1
14	12	10	9.140450755739245	1	9.794609453429672	5.627639938346562	3.5128108173926833	0	1	1
14	12	17	6.743304578762	1	9.794609453429672	3.230493761369331	3.512810817392669	0	1	1
15	2	2	7.535720018624326	1	6.226175231451268	5.016242725113216	2.51947729351111	1.3095447871730572	1	1
16	2	14	6.520389574485267	1	7.279605309878775	3.6102270884921523	2.910162485993115	0	1	1
16	2	15	6.854017976725458	1	7.279605309878775	3.9438554907323464	2.9101624859931112	0	1	1
16	6	3	7.133904389772637	1	6.147706533233261	4.130923311424311	3.0029810783483253	0.9861978565393752	1	1
16	6	4	5.2940621958032015	1	6.147706533233261	2.291081117454894	3.0029810783483075	0	1	1
17	1	1	7.865196340551939	1	5.519449034975253	5.602423886020148	2.262772454531791	2.345747305576686	1	1
17	2	2	6.8491472327278835	1	4.547598240145035	5.285996940754245	1.5631502919736384	2.3015489925828483	1	1
17	5	12	5.3485945749480965	1	3.040740624409807	4.0922395934604765	1.25635498148762	2.3078539505382896	1	1
17	13	10	8.548728503936006	1	11.214673283188873	6.235826167766419	2.3129023361695875	0	1	1
17	13	14	6.7003276693666844	1	11.214673283188873	4.3874253331971005	2.312902336169584	0	1	1
18	6	2	7.808707234887624	1	7.252719216934452	7.05601553821738	0.7526916966702437	0.5559880179531724	1	1
18	7	16	8.15500862677952	1	7.986989501243812	7.1470613131482	1.0079473136313197	0.1680191255357073	1	1
19	1	2	7.904355714367851	1	13.338463291701203	5.4666674565435756	2.4376882578242753	0	1	1
19	1	11	7.343873542418091	1	13.338463291701203	4.906185284593818	2.4376882578242736	0	1	1
19	3	7	7.533574712150832	1	4.458717517699995	5.15700768430753	2.3765670278433024	3.0748571944508374	1	1
19	11	12	8.410215637089744	1	6.598082791603332	5.5162858171377565	2.893929819951987	1.8121328454864116	1	1
20	1	2	7.710071392494528	1	11.05044617821207	6.388238242204125	1.321833150290403	0	1	1
20	1	9	7.590672260544445	1	11.05044617821207	6.268839110254049	1.321833150290396	0	1	1
